hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
8:59:00,10/02/2019,2019,RIO MISSISSIPPI,CALZADA SAN PEDRO,Atropello,Distraccion,1,0,1,25.65949,-100.36954
19:11:00,21/05/2019,2019,RIO MISSISSIPPI,RIO ROSAS,Atropello,Distraccion,1,0,1,25.657046,-100.35986
11:44:00,11/03/2017,2017,RIO MISSOURI,CALZADA SAN PEDRO,Atropello,Distraccion,1,0,1,25.662555,-100.368589
14:01,19/06/2015,2015,RIO MOCTEZUMA,RIO ORINOCO,Atropello,Otros,1,0,1,25.6589006,-100.361990
4:17,21/03/2015,2015,RIO ORINOCO,RIO TAMAZUNCHALE,Atropello,Viro indebidamente,2,0,2,25.6593337,-100.364970
19:56,06/10/2015,2015,RIO SUCHIATE,CALZADA DEL VALLE,Atropello,Viro indebidamente,1,0,1,25.659197,-100.376960
9:48:00,05/06/2016,2016,RIO SUCHIATE,JOSE VASCONCELOS,Atropello,Viro indebidamente,1,0,1,25.652635,-100.378958
11:57:00,09/12/2018,2018,RIO SUCHIATE,JOSE VASCONCELOS,Atropello,Distraccion,1,0,1,25.652037,-100.36438
14:57:00,18/04/2016,2016,RIO TAMAZUNCHALE,RIO MISSISSIPPI,Atropello,Distraccion,1,0,1,25.658304,-100.365333
18:58:00,17/01/2017,2017,RIO TAMAZUNCHALE,RIO VOLGA,Atropello,Viro indebidamente,4,0,4,25.653848,-100.366898
9:01:00,08/01/2018,2018,RIO TAMAZUNCHALE,CALZADA DEL VALLE,Atropello,Distraccion,1,0,1,25.656086,-100.36611
